local;cod;quant;dicofre
Vilar de Mouros;111160218;22;160218
Beiral do Lima;111160707;22;160707
Ganfei;111160808;22;160808
União de freguesias de Ardegão, Arnozela e Seidões;119030740;22;030740
Serzedelo;119030924;22;030924
Tabuaças;119031118;22;031118
União das freguesias de Anissó e Soutelo;119031122;22;031122
União das freguesias de Foz do Sousa e Covelo;11A130414;22;130414
Alturas do Barroso e Cerdedo;11B170217;22;170217
Gralhas;11B170612;22;170612
Canedo;11B170902;22;170902
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;11B170909;22;170909
Vila Boa de Quires e Maureles;11C130741;22;130741
União das freguesias de Cepões, Meijinhos e Melcões;11D180527;22;180527
Paços;11E040724;22;040724
União das freguesias de Freixeda e Vila Verde;11E040742;22;040742
Paradela;11E040811;22;040811
Vale Frechoso;11E041015;22;041015
Vila Verde;11E041230;22;041230
União das freguesias de Pataias e Martingança;16B100123;22;100123
Ventosa;16B110113;22;110113
Nadadouro;16B100608;22;100608
União das freguesias de Travassô e Óis da Ribeira;16D010125;22;010125
